Start Date,End Date,Start Price per Share,End Price per Share,Total Return,Compound Annual Growth Rate,Starting Investment,Ending Investment,Years
2014-09-22,2015-12-31,0.47,0.82,74.48,54.84,1000.00,1744.84,1.3
2014-09-22,2016-12-30,0.47,2.67,465.06,114.26,1000.00,5650.61,2.3
2014-09-22,2017-12-29,0.47,4.84,924.35,103.74,1000.00,10243.52,3.3
2014-09-22,2018-12-31,0.47,3.34,606.72,58.02,1000.00,7067.23,4.3
2014-09-22,2019-12-31,0.47,5.88,1145.63,61.33,1000.00,12456.33,5.3
2014-09-22,2020-12-31,0.47,13.05,2664.43,69.72,1000.00,27644.26,6.3
2014-09-22,2021-12-31,0.47,29.41,6127.85,76.46,1000.00,62278.45,7.3
2014-09-22,2022-12-30,0.47,14.61,2994.55,51.43,1000.00,30945.47,8.3
2014-09-22,2023-12-29,0.47,49.52,10386.39,65.20,1000.00,104863.95,9.3
2014-09-22,2024-12-31,0.47,134.29,28336.21,73.30,1000.00,284362.10,10.3
